,issue_ac_power,issue_ac_power_roll_1hr,issue_ac_power_roll_1day,issue_ambient_temp,issue_clearsky_index,target_ambient_temp,target_irradiation,target_solar_elevation,target_ac_power
count,3126.0,3112.0,3102.0,3125.0,1685.0,210340.0,210340.0,210340.0,210340.0
mean,6713.109472195465,6719.407452701766,6752.226776240688,25.57256935553439,0.6319595432114724,25.46954097690154,0.23023044377884877,8.818677490585126,6709.457878547407
std,8584.582369025318,8387.274392377296,1336.2258531858367,3.3476507261935846,0.24178740932645842,3.29319889676902,0.30224771141471724,43.56726622316702,8629.35879579348
min,0.0,0.0,0.0,20.398504866666663,0.0068757294849815,20.398504866666663,0.0,-56.16735733975832,0.0
25%,0.0,0.0,5836.797135449136,22.75687046666667,0.4551009015834779,22.692254533333333,0.0,-32.16637517665971,0.0
50%,888.3991071400001,1090.0809524034999,6686.586134444129,24.700486200000004,0.6307907374679042,24.514550666666665,0.0275747859333333,6.152806595474708,796.72035715
75%,13750.606696325,14109.42302828125,7367.057124204594,27.950823933333332,0.817997179468061,27.86127913333333,0.4513733507142856,46.947014870787285,13746.0892856
max,29150.212499,27573.46383875,11551.132164901965,35.25248613333334,1.5,35.25248613333334,1.2216518466666668,85.50860582362385,29150.212499
