model,horizon_bucket,MAE,RMSE,n
linear_baseline,1-24h,430.29833447443303,664.6433507889652,6627
linear_baseline,25-48h,423.5184806342566,667.0840888970208,5437
linear_baseline,49-72h,410.0446168764626,639.6603375503798,4213
xgboost,1-24h,319.98699025576224,660.2342069517676,12662
xgboost,25-48h,327.99281963606757,668.5645228338059,10392
xgboost,49-72h,312.1108524971571,632.6558505857448,8088
