model,MAE,RMSE,MAPE_daytime_pct,MAE_night
linear_baseline,424.33853138308126,663.2485376490392,19.777488927196508,167.51580911686145
xgboost,353.87647537142226,692.2496071486111,8.655418956516584,11.826063861160836
lightgbm_optuna,291.6531523091194,609.6134924097832,5.821745137419056,1.8319262823278175
